,source,target,y2030,y2040,y2050,polygon,technology,scenario
249,hydrocarbons,transport,1.3352731167613372,1.4001780851434384,1.965835321073822,ES,HC_thermal-rail_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
250,hydrocarbons,transport,1.729970864763367,2.534971383793445,3.4782304189330233,FR,HC_thermal-rail_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
251,hydrocarbons,transport,0.15933026694718055,0.2121090390925036,0.27154727966294273,PT,HC_thermal-rail_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
252,hydrocarbons,transport,17.805272903999995,6.006851136,0.0,ES,HC_truck-diesel_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
253,hydrocarbons,transport,22.2535098,11.784803471999998,1.0102820399999999,FR,HC_truck-diesel_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
254,hydrocarbons,transport,4.529747819999999,3.158032559999999,0.0,PT,HC_truck-diesel_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
255,hydrocarbons,transport,0.18974159999999998,0.0,0.0,ES,HC_truck-gasoline_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
256,hydrocarbons,transport,0.4242923519999998,0.0,0.0,FR,HC_truck-gasoline_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
257,hydrocarbons,transport,0.023909543999999998,0.0,0.0,PT,HC_truck-gasoline_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
258,hydrocarbons,transport,0.011871552,0.0,0.0,ES,HC_van-LPG_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
259,hydrocarbons,transport,0.04151977199999999,0.0,0.0,FR,HC_van-LPG_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
260,hydrocarbons,transport,0.0045333,0.0,0.0,PT,HC_van-LPG_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
261,hydrocarbons,transport,24.834708623999994,9.953698919999995,0.0,ES,HC_van-diesel_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
262,hydrocarbons,transport,46.236391643999994,26.021717532,2.001915792,FR,HC_van-diesel_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
263,hydrocarbons,transport,7.085035439999999,4.311286559999999,0.32879783999999995,PT,HC_van-diesel_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
264,hydrocarbons,transport,0.0027699119999999994,0.0,0.0,ES,HC_van-gasoline_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
265,hydrocarbons,transport,0.003840384,0.0,0.0,FR,HC_van-gasoline_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
266,electricity,transport,0.3624023053599651,0.701794940538345,2.277957347976923,ES,elec_bus_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
267,electricity,transport,1.3699993056933424,2.7160684925099448,2.6562431953180954,FR,elec_bus_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
